op,dec,hex,min,max,mean,sd,f-stat
CALLDATACOPY, 55,0x37,0,17,1.8,3.3,322.8
MLOAD, 81,0x51,14,477,114.2,89.6,293.3
ADDRESS, 48,0x30,0,38,3.4,5.1,288.6
DELEGATECALL,244,0xf4,0,2,0.1,0.3,263.4
DUP3,130,0x82,8,383,103.9,74.8,259.1
DUP7,134,0x86,0,81,16.9,18.5,252.1
MISSING, 42,0x2a,0,3,0.0,0.3,249.4
DUP5,132,0x84,0,148,35.5,28.8,248.2
DUP8,135,0x87,0,72,13.5,14.5,245.3
GT, 17,0x11,1,59,13.0,10.9,238.7
SWAP3,146,0x92,0,242,50.3,40.1,225.3
SLT, 18,0x12,0,27,2.6,5.7,223.3
LOG3,163,0xa3,0,11,2.2,2.6,220.7
DUP10,137,0x89,0,40,4.7,7.9,217.5
CALLDATALOAD, 53,0x35,2,57,20.7,12.5,215.5
XOR, 24,0x18,0,5,0.1,0.5,213.2
EXTCODEHASH, 63,0x3f,0,2,0.1,0.3,211.8
SGT, 19,0x13,0,7,0.2,0.9,210.7
