,isInner,id1,id2,group1,group2,ppdeep-significantAndZero,ppdeep-significantOnly,ppdeep-skeleton,byteBag-significantOnly,byteBag-skeleton,lzjd1-significantAndZero,lzjd1-significantOnly,lzjd1-skeleton
120,True,AggregationRouterV3 - 999999 0.7.6.hex,AggregationRouterV3 - 999999 0.5.16.hex,AggregationRouterV3,AggregationRouterV3,82.79569892473118,74.0,65.33333333333334,0.9379562043795621,0.8230942425217112,0.6105032822757112,0.5161290322580645,0.3708165997322624
121,True,AggregationRouterV3 - 999999 0.7.6.hex,AggregationRouterV3 - 1 0.8.4.hex,AggregationRouterV3,AggregationRouterV3,73.62637362637363,64.0,55.85585585585586,0.8456375838926175,0.7947444319820541,0.5130434782608696,0.42424242424242425,0.31873792659368966
122,True,AggregationRouterV3 - no 0.6.12.hex,AggregationRouterV3 - 1 0.7.6.hex,AggregationRouterV3,AggregationRouterV3,74.15730337078652,57.333333333333336,39.285714285714285,0.832258064516129,0.6620454821841177,0.42203742203742206,0.44285714285714284,0.20683559222156747
123,True,AggregationRouterV3 - no 0.6.12.hex,AggregationRouterV3 - no 0.5.16.hex,AggregationRouterV3,AggregationRouterV3,86.36363636363636,85.22727272727272,75.0,0.9634551495016611,0.9512580527531299,0.616,0.5454545454545454,0.5226765799256505
124,True,AggregationRouterV3 - no 0.6.12.hex,AggregationRouterV3 - 999999 0.5.16.hex,AggregationRouterV3,AggregationRouterV3,76.40449438202248,58.75,51.21951219512195,0.8716216216216216,0.7583459787556904,0.5238095238095238,0.4961832061068702,0.309462915601023
125,True,AggregationRouterV3 - no 0.6.12.hex,AggregationRouterV3 - 1 0.8.4.hex,AggregationRouterV3,AggregationRouterV3,71.26436781609195,56.0,33.92857142857143,0.8306709265175719,0.6387004641199572,0.4380165289256198,0.42857142857142855,0.20187793427230047
126,True,AggregationRouterV3 - 1 0.7.6.hex,AggregationRouterV3 - no 0.5.16.hex,AggregationRouterV3,AggregationRouterV3,73.62637362637363,53.246753246753244,36.206896551724135,0.8253968253968254,0.6473486625997185,0.4309623430962343,0.45323741007194246,0.19976567076742824
127,True,AggregationRouterV3 - 1 0.7.6.hex,AggregationRouterV3 - 999999 0.5.16.hex,AggregationRouterV3,AggregationRouterV3,73.91304347826087,64.0,40.0,0.9214285714285714,0.7411799150929586,0.4584221748400853,0.5193798449612403,0.2649783817171093
128,True,AggregationRouterV3 - 1 0.7.6.hex,AggregationRouterV3 - 1 0.8.4.hex,AggregationRouterV3,AggregationRouterV3,83.33333333333333,64.0,72.91666666666667,0.8691275167785235,0.9334100624794476,0.5440180586907449,0.48148148148148145,0.42618384401114207
129,True,AggregationRouterV3 - no 0.5.16.hex,AggregationRouterV3 - 999999 0.5.16.hex,AggregationRouterV3,AggregationRouterV3,76.92307692307692,59.75609756097561,51.19047619047619,0.8762541806020067,0.7273497036409822,0.5112936344969199,0.568,0.28967254408060455
130,True,AggregationRouterV3 - no 0.5.16.hex,AggregationRouterV3 - 1 0.8.4.hex,AggregationRouterV3,AggregationRouterV3,70.78651685393258,53.246753246753244,32.758620689655174,0.8238993710691824,0.6247415575465196,0.4652631578947368,0.4925373134328358,0.186558516801854
131,True,AggregationRouterV3 - 999999 0.5.16.hex,AggregationRouterV3 - 1 0.8.4.hex,AggregationRouterV3,AggregationRouterV3,72.22222222222223,60.869565217391305,36.666666666666664,0.81,0.7182755657404755,0.4380165289256198,0.5193798449612403,0.24650030432136336
132,True,UniswapV2Router02 - no 0.5.16.hex,UniswapV2Router02 - 999999 0.7.6.hex,UniswapV2Router02,UniswapV2Router02,85.1063829787234,58.490566037735846,50.78125,0.8492217898832685,0.7241540724889661,0.5528068506184586,0.5112540192926045,0.3019707565162111
133,True,UniswapV2Router02 - no 0.5.16.hex,UniswapV2Router02 - no 0.6.12.hex,UniswapV2Router02,UniswapV2Router02,86.0,66.07142857142857,67.96875,0.9173076923076923,0.9446378363904138,0.5780445969125214,0.5329341317365269,0.558599695585997
134,True,UniswapV2Router02 - no 0.5.16.hex,UniswapV2Router02 - 999999 0.5.16.hex,UniswapV2Router02,UniswapV2Router02,85.1063829787234,78.84615384615384,53.90625,0.9071358748778103,0.7438314944834503,0.5079646017699115,0.6577181208053692,0.2904851921865154
135,True,UniswapV2Router02 - no 0.5.16.hex,UniswapV2Router02 - 1 0.7.6.hex,UniswapV2Router02,UniswapV2Router02,76.0,57.89473684210526,45.945945945945944,0.8334910122989593,0.7429860702373945,0.5078341013824885,0.4588235294117647,0.257985257985258
136,True,UniswapV2Router02 - no 0.5.16.hex,UniswapV2Router02 - 1 0.6.12.hex,UniswapV2Router02,UniswapV2Router02,76.0,57.89473684210526,45.945945945945944,0.8334910122989593,0.7431654676258993,0.5055350553505535,0.4588235294117647,0.2634176434299815
137,True,UniswapV2Router02 - no 0.5.16.hex,UniswapV2Router02 - no 0.8.4.hex,UniswapV2Router02,UniswapV2Router02,63.28125,47.36842105263158,54.6875,0.5522388059701493,0.6912402923709456,0.40523560209424087,0.296,0.24271844660194175
138,True,UniswapV2Router02 - no 0.5.16.hex,UniswapV2Router02 - 1 0.8.4.hex,UniswapV2Router02,UniswapV2Router02,60.9375,52.0,51.5625,0.5433300876338851,0.6203980415845362,0.5233022636484687,0.36363636363636365,0.17836593785960875
139,True,UniswapV2Router02 - no 0.5.16.hex,UniswapV2Router02 - 999999 0.6.12.hex,UniswapV2Router02,UniswapV2Router02,85.1063829787234,58.490566037735846,50.78125,0.8492217898832685,0.7245669186007625,0.564299424184261,0.5112540192926045,0.3019707565162111
140,True,UniswapV2Router02 - no 0.5.16.hex,UniswapV2Router02 - 999999 0.8.4.hex,UniswapV2Router02,UniswapV2Router02,62.5,53.06122448979592,52.34375,0.5501460564751705,0.623804940648059,0.4981640146878825,0.3698630136986301,0.1990632318501171
141,True,UniswapV2Router02 - no 0.5.16.hex,UniswapV2Router02 - 1 0.5.16.hex,UniswapV2Router02,UniswapV2Router02,76.0,60.3448275862069,54.76190476190476,0.8843601895734597,0.7483054676909173,0.5022381378692927,0.5343283582089552,0.25644171779141106
142,True,UniswapV2Router02 - no 0.5.16.hex,UniswapV2Router02 - no 0.7.6.hex,UniswapV2Router02,UniswapV2Router02,86.0,66.07142857142857,67.96875,0.9173076923076923,0.9446378363904138,0.5776824034334764,0.5329341317365269,0.5609756097560976
143,True,UniswapV2Router02 - 999999 0.7.6.hex,UniswapV2Router02 - no 0.6.12.hex,UniswapV2Router02,UniswapV2Router02,87.23404255319149,73.77049180327869,51.5625,0.9042224510813595,0.7629681484074203,0.6078817733990147,0.6491228070175439,0.3420707732634338
144,True,UniswapV2Router02 - 999999 0.7.6.hex,UniswapV2Router02 - 999999 0.5.16.hex,UniswapV2Router02,UniswapV2Router02,98.4375,68.85245901639344,61.71875,0.9253731343283582,0.9421227487322958,0.5722543352601156,0.4779874213836478,0.5479969765684052
