,isInner,id1,id2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw fourbytes,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons fourbytes,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel fourbytes,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat fourbytes,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 fourbytes
fStat byteBag,,0.2419109695498849,-0.052863323302507405,,,0.45076468015566074,0.6703296703296704,0.5606682019964622,0.5114962815341323,-0.06890854673336205,0.17086763465367147,0.6128983942233591,0.6116515566968325,0.7047806296852517,0.7262737262737262,0.6638874525732167,0.600534045334718,0.689885258627179,,0.6112129395327174,0.6111125565555893,0.7157186128572912,0.7262737262737262,0.6614300302836476,0.6020688826869977,0.689885258627179,,0.5607704338847062,0.5667253098132797,0.5792822380545489,1.0,0.734686724558736,0.5845694413681507,0.686104784155556,,0.48604914181036135,0.4842941544523979,0.6837435553945608,1.0,0.6881262638895912,0.648558798690092,0.6925648040867347,
fStat lzjd,,0.25534914863504526,-0.06128379567241086,,,0.4534911042910246,0.671704004897522,0.5654079889800752,0.48844148812880306,-0.11374739612306549,0.12839527925027966,0.5998873039975713,0.6084646726788155,0.7117549018666246,0.7085555961886578,0.706338543180237,0.7209069774763099,0.8248225385693124,,0.5981976481817254,0.605948500060471,0.7190320136128526,0.7085555961886578,0.7041968749950729,0.7238323908977107,0.8248225385693124,,0.5581551703081814,0.5636284755985489,0.6771097377835873,0.734686724558736,1.0,0.614928673063463,0.7143917715871513,,0.5137967657272194,0.5087428720972512,0.7606064486310797,0.7346867245587361,0.7356198519683281,0.7470343967204992,0.8282546893387666,
fStat bz,,0.46530470240301114,-0.030132684041158857,,,0.32095226596459847,0.42592915967417144,0.35318333900915305,0.4762381256805676,-0.15366692750166855,0.22062408972763276,0.5654713851045596,0.5720357069865039,0.4868793152541598,0.42592915967417144,0.5232345763098564,0.7141666170950479,0.6787858572381588,,0.5638017106350419,0.5704880426659887,0.49539240751817265,0.42592915967417144,0.5228110132167176,0.7190788683578258,0.6787858572381588,,0.544804097880894,0.5532174741066818,0.5023513734000359,0.5845694413681507,0.614928673063463,1.0,0.7910622087635198,,0.5171661667678235,0.5187309773948307,0.6163175776114753,0.5845694413681508,0.46609319646849146,0.7581721147431622,0.6817955134229826,
fStat jump,,0.38430282369262736,-0.08898169299719905,,,0.43701123005074777,0.5041653902026985,0.45507111057916566,0.49316438812937646,-0.09640238787209048,0.27054487489527235,0.6455863086297118,0.6443502240576804,0.6253535596916805,0.5374876235273977,0.5804923304440204,0.7557559240379315,0.8284142186208193,,0.6438881585812196,0.6467717163553659,0.6286494976039714,0.5374876235273977,0.5793885814638624,0.7606812892341837,0.8284142186208193,,0.6069519772806972,0.616025755618761,0.6232273253389793,0.686104784155556,0.7143917715871513,0.7910622087635198,1.0,,0.5587533990136455,0.5537696154170052,0.7039584464911497,0.6861047841555559,0.5983450226257404,0.7703852033068006,0.8311646829044094,
fStat fourbytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
fStat0 ssdeep,,0.1469026357875281,-0.11464166479105134,,,0.3961907910048397,0.44659532195653273,0.4665436052842896,0.3202276594935908,-0.015412596004995833,0.4032442741233292,0.6393960790036154,0.6412346619466044,0.5538213072375288,0.44988314027768517,0.47757300493640054,0.5558341921849815,0.5763962261643504,,0.6367549132673311,0.6400852073649438,0.552608112145815,0.44988314027768517,0.47694111321589666,0.5587642944400836,0.5763962261643504,,0.8007776430353803,0.8110789211105947,0.5769028493255249,0.48604914181036135,0.5137967657272194,0.5171661667678235,0.5587533990136455,,1.0,0.9918776602872863,0.6052495354062584,0.4860491418103614,0.48560853141470917,0.5402000787553617,0.5744900288427204,
fStat0 ppdeep,,0.1522247597231232,-0.10782587147054558,,,0.3899393833358207,0.44809549738121074,0.460341248616449,0.32051680416603673,-0.022037875104389426,0.4070827680026275,0.6327284299021674,0.6345660729360144,0.5493274854934165,0.44809549738121074,0.47138060709645974,0.5607296463317272,0.571427457638115,,0.6300874765989226,0.6334103720040706,0.5481191415874918,0.44809549738121074,0.470749261503654,0.5631144819995716,0.571427457638115,,0.7924858590031923,0.8044162304747653,0.5730117300683474,0.4842941544523979,0.5087428720972512,0.5187309773948307,0.5537696154170052,,0.9918776602872863,1.0,0.6102058344886553,0.48429415445239793,0.47995063358419404,0.5450792175164728,0.5695167906425084,
fStat0 ppdeep_mod,,0.18648057335015983,-0.06509227560335769,,,0.45034463887470466,0.6670097434661574,0.6278213848675402,0.5016792354156718,-0.09178014278453957,0.20494236485049366,0.5811067272710366,0.5857377877263179,0.710020554086219,0.6716952108061103,0.7002364051178199,0.7379406707940849,0.8407375651113058,,0.5794252927988479,0.5851752398228892,0.7152624152429075,0.6716952108061103,0.6987713222131503,0.7432157081984879,0.8407375651113058,,0.6156011977647575,0.6232260777844628,0.699646732251031,0.6837435553945608,0.7606064486310797,0.6163175776114753,0.7039584464911497,,0.6052495354062584,0.6102058344886553,1.0,0.6837435553945607,0.6834729745654449,0.751639480521821,0.8354614406401697,
fStat0 byteBag,,0.2419109695498849,-0.052863323302507405,,,0.45076468015566074,0.6703296703296704,0.5606682019964622,0.5114962815341323,-0.06890854673336205,0.17086763465367147,0.6128983942233591,0.6116515566968325,0.7047806296852517,0.7262737262737262,0.6638874525732167,0.600534045334718,0.689885258627179,,0.6112129395327174,0.6111125565555893,0.7157186128572912,0.7262737262737262,0.6614300302836476,0.6020688826869977,0.689885258627179,,0.5607704338847062,0.5667253098132797,0.5792822380545489,1.0,0.7346867245587361,0.5845694413681508,0.6861047841555559,,0.4860491418103614,0.48429415445239793,0.6837435553945607,1.0,0.6881262638895912,0.648558798690092,0.6925648040867347,
fStat0 lzjd,,0.06898303215476355,-0.1577765761078182,,,0.44400259283236976,0.7184105493419448,0.6579803734959186,0.43571100690923353,0.06591293274570821,0.1680408357340184,0.6193250371291111,0.6151007845603793,0.7717452286541187,0.7258133746747424,0.7714252654779736,0.564713394161593,0.7075591082227606,,0.6176219093371321,0.6165316499613449,0.7762665759945597,0.7258133746747424,0.7685865347846669,0.5628797183576574,0.7075591082227606,,0.5400023215717267,0.5409089320173102,0.6645317668946502,0.6881262638895912,0.7356198519683281,0.46609319646849146,0.5983450226257404,,0.48560853141470917,0.47995063358419404,0.6834729745654449,0.6881262638895912,1.0,0.5704926841167807,0.7129675071873097,
fStat0 bz,,0.3461754864263366,-0.03468762465203171,,,0.3865483495194069,0.5625730997887334,0.47627762715384364,0.4909121295530781,-0.1550060728393737,0.19493739347545222,0.5268275793750957,0.5353353836126905,0.5816252207849208,0.5699052136485392,0.609769525468794,0.8042717510276007,0.7858572381587725,,0.5251717582151214,0.5327819660262625,0.5866577660752255,0.5699052136485392,0.6093313733257062,0.8132201129617751,0.7858572381587725,,0.5338482567900533,0.5427323053736129,0.586802705018988,0.648558798690092,0.7470343967204992,0.7581721147431622,0.7703852033068006,,0.5402000787553617,0.5450792175164728,0.751639480521821,0.648558798690092,0.5704926841167807,1.0,0.7872518923958963,
fStat0 jump,,0.24924495023505816,-0.11463164377899299,,,0.44065137457676046,0.6445487560422043,0.5651078301690905,0.5048382839158456,-0.09445701815277316,0.20348417014964665,0.645038460119012,0.6428220337983609,0.7097693926651124,0.6538852098286408,0.7090693854793872,0.7786310517529215,0.9854831870475124,,0.6433395273511838,0.6452437352273133,0.7106089190255369,0.6538852098286408,0.7099563969028383,0.7882431969395938,0.9854831870475124,,0.6148307841081083,0.6244296878152028,0.7295956786100197,0.6925648040867347,0.8282546893387666,0.6817955134229826,0.8311646829044094,,0.5744900288427204,0.5695167906425084,0.8354614406401697,0.6925648040867347,0.7129675071873097,0.7872518923958963,1.0,
fStat0 fourbytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
